instance,solver,time,objective-reported,objective,length,metadata
IN_000.json-bap.out,BAP,22,-1,0.0,0,"{""number_of_nodes"": ""0"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.00"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.02"", ""master_relaxation"": ""-1.000000"", ""patterns_generated_avg"": ""0"", ""optimal"": ""True""}"
IN_000.json-global.out,ILP Solver (global):predictor (Python),1,-1,0.0,0,"{""objective"": ""-1""}"
IN_001.json-bap.out,BAP,78,1.1466338951899544,1.1466338951899544,60,"{""objective"": ""1.1466338951899544"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.03"", ""time_sub_solving"": ""0.03"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""1.146634"", ""patterns_generated_avg"": ""12.00"", ""optimal"": ""True""}"
IN_001.json-global.out,ILP Solver (global):predictor (Python),4,1.1466338951899542,1.1466338951899544,60,"{""objective"": ""1.1466338951899542""}"
IN_002.json-bap.out,BAP,378,1.0283551789016403,1.0283551789016403,96,"{""objective"": ""1.0283551789016403"", ""number_of_nodes"": ""10"", ""time_masters_init"": ""0.02"", ""time_masters_solving"": ""0.01"", ""time_sub_init"": ""0.05"", ""time_sub_solving"": ""0.21"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.07"", ""master_relaxation"": ""0.983375"", ""patterns_generated_avg"": ""2.00"", ""optimal"": ""True""}"
IN_002.json-global.out,ILP Solver (global):predictor (Python),5,1.0283551789016392,1.0283551789016403,96,"{""objective"": ""1.0283551789016392""}"
IN_003.json-bap.out,BAP,80,0.6337833695674279,0.6337833695674279,133,"{""objective"": ""0.6337833695674279"", ""number_of_nodes"": ""3"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.01"", ""time_sub_solving"": ""0.04"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""0.631797"", ""patterns_generated_avg"": ""2.67"", ""optimal"": ""True""}"
IN_003.json-global.out,ILP Solver (global):predictor (Python),22,0.6337833695674275,0.6337833695674279,133,"{""objective"": ""0.6337833695674275""}"
IN_004.json-bap.out,BAP,116,1.0188986965767821,1.0188986965767821,71,"{""objective"": ""1.0188986965767821"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.02"", ""time_sub_solving"": ""0.07"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""1.018899"", ""patterns_generated_avg"": ""10.00"", ""optimal"": ""True""}"
IN_004.json-global.out,ILP Solver (global):predictor (Python),30,1.0188986965767812,1.0188986965767821,71,"{""objective"": ""1.0188986965767812""}"
IN_005.json-bap.out,BAP,462,2.003834037927014,2.003834037927014,59,"{""objective"": ""2.003834037927014"", ""number_of_nodes"": ""9"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.01"", ""time_sub_init"": ""0.05"", ""time_sub_solving"": ""0.28"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.09"", ""master_relaxation"": ""1.870416"", ""patterns_generated_avg"": ""1.67"", ""optimal"": ""True""}"
IN_005.json-global.out,ILP Solver (global):predictor (Python),2,2.003834037927014,2.003834037927014,59,"{""objective"": ""2.003834037927014""}"
IN_006.json-bap.out,BAP,177,1.3151180542859628,1.3151180542859628,84,"{""objective"": ""1.3151180542859628"", ""number_of_nodes"": ""2"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.03"", ""time_sub_solving"": ""0.11"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.02"", ""master_relaxation"": ""1.255855"", ""patterns_generated_avg"": ""6.00"", ""optimal"": ""True""}"
IN_006.json-global.out,ILP Solver (global):predictor (Python),2,1.3151180542859628,1.3151180542859628,84,"{""objective"": ""1.3151180542859628""}"
IN_007.json-bap.out,BAP,7,-1,0.0,0,"{""number_of_nodes"": ""0"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.00"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""-1.000000"", ""patterns_generated_avg"": ""0"", ""optimal"": ""True""}"
IN_007.json-global.out,ILP Solver (global):predictor (Python),1,-1,0.0,0,"{""objective"": ""-1""}"
IN_008.json-bap.out,BAP,108,0.535913511811783,0.535913511811783,90,"{""objective"": ""0.535913511811783"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.02"", ""time_sub_solving"": ""0.07"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""0.535914"", ""patterns_generated_avg"": ""14.00"", ""optimal"": ""True""}"
IN_008.json-global.out,ILP Solver (global):predictor (Python),31,0.5359135118117826,0.535913511811783,90,"{""objective"": ""0.5359135118117826""}"
IN_009.json-bap.out,BAP,209,1.7853614548172831,1.7853614548172831,83,"{""objective"": ""1.7853614548172831"", ""number_of_nodes"": ""12"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.03"", ""time_sub_solving"": ""0.08"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.06"", ""master_relaxation"": ""1.742877"", ""patterns_generated_avg"": ""0.92"", ""optimal"": ""True""}"
IN_009.json-global.out,ILP Solver (global):predictor (Python),3,1.7853614548172831,1.7853614548172831,83,"{""objective"": ""1.7853614548172831""}"
